question;class
Добрый вечер. Скажите, пожалуйста, могу ли я донести ИНН позже(3 августа), а остальные документы завтра(1 августа)? Буду ли я зачислена в таком случае? спасибо за ответ. ;DOC
Губернаторская стипендия от скольки баллов? ;ORG
Если я зачислен в первую волну,но я решу перенести оригинал на другой факультет на вторую волну зачисления,как долго длится процедура отчисления? ;ORG
К кому надо обратиться, чтобы получить общежитие на 1 и 2 августа? ;HOST
У ребят, которые учатся на направлении химическая технология, все занятия проходят на комплексе? ;ORG
почему в 1 час подал оригиналы документов, но до сих пор в перечне лиц подавших оригинал не отразился? Ведь списки должны обновляться каждые 15 минут ;RANG
Так и не ответили на мой вопрос.  1. Если по внутреннему экзамену 15 правильно решённых заданий это 100 баллов. То как понять 36 баллов, в какую сторону округляется?  2. с какими техникумами по Перми есть договор об аккредитации, чтобы можно было после техникума продолжить обучение в пнипу не с 1, а с 2-3 курсов? ;ENTER
Скажите пожалуйста когда будут известен список, кто зачислен и когда нужно приехать на зачисление? ;RANG
Здравствуйте, такой вопрос. Есть ли возможность перевестись со второго курса очного отделения на заочное с сохранением курса? Те не начинать с 1 курса, а именно перевестись на второй заочного. ;ORG
Как поступить в Политех на заочку, если закончил 9 классов, и пока что нет диплома спо? ;ENTER
Здравствуйте, увидела в разделе на сайте ПНИПУ Какую профессию выбрать профессию инженер-экономист в области инноваций. В этом же разделе было сказано, что для получения данной профессии необходимо учиться на Гуманитарном факультете, профиль-экономика инноваций. Но в общих таблицах, такого направления нет. Скажите, пожалуйста, есть ли данное направление, если нет - то можно ли получить эту профессию на другом факультете ПНИПУ? ;ORG
Добрый день, подскажите школу закончил в 1999 году, ЕГЭ соответственно не сдавал, каким образом могу поступить на Нефтегазовое дело? Являюсь ветераном боевых действий, будет ли данный статус при поступлении каким-то зачетом к поступлению? ;PRIV
Можно ли ещё поступить на заочное отделение? ;ENTER
Здравствуйте!Существуют ли в вашем ВУЗе военные кафедры?Если да,то какие и какой проходной бал был в 2018 г? ;ORG
Подскажите, возможно ли взять академический отпуск в связи с утратой близкого родственника? ;ORG
Добрый вечер! Подскажите пожалуйста, когда планируется день открытых дверей , для школьников? ;ORG
Добрый день! У вас когда будет день открытых дверей? ;ORG
Добрый вечер, скажите,пожалуйста, минимальный проходной балл по математике профилю для того, чтобы поступить на управление персоналом заочно? ;RANG
Добрый вечер, можно ли  учиться в одном факультете по 2 специальностям параллельно?(одновременно) ;ORG
Доброго времени суток, можно ли поступить к вам после 9 класса? ;ENTER
Когда день открытых дверей? ;ORG
